1,5.8786999943549745e-05
2,4.359299964562524e-05
3,7.018999895080924e-05
4,6.322399894997943e-05
5,8.012100079213269e-05
6,7.260600068548229e-05
7,5.388799945649225e-05
8,5.929399958404247e-05
9,4.328300019551534e-05
10,5.670199971063994e-05
11,4.1743000110727735e-05
12,3.6743998862220906e-05
13,3.9210999602801166e-05
14,5.357000009098556e-05
15,0.00033169100061059
16,7.713900049566291e-05
17,6.295300045167096e-05
18,4.1033001252799295e-05
19,7.073099914123304e-05
20,4.439999975147657e-05
21,4.3682000978151336e-05
22,5.8777999583981e-05
23,8.809700011624955e-05
24,5.3406000006361865e-05
25,5.898299968976062e-05
26,4.939400059811305e-05
27,4.746800004795659e-05
28,0.0002252670001325896
29,9.047900130099151e-05
30,5.905400030314922e-05
31,5.248600064078346e-05
32,6.0585000028368086e-05
33,7.498400009353645e-05
34,9.820299965213053e-05
35,5.887699990125839e-05
36,6.822500108683016e-05
37,5.763100125477649e-05
38,4.812400038645137e-05
39,4.382299994176719e-05
40,6.16470006207237e-05
41,5.564400089497212e-05
42,6.154699985927437e-05
43,0.0001878300008684164
44,0.00011953099965467118
45,6.559500070579816e-05
46,7.41380008548731e-05
47,9.070899977814406e-05
48,0.00010071599899674766
49,7.230499977595173e-05
50,6.270100129768252e-05
51,9.206899994751438e-05
52,6.833000043116044e-05
53,8.865200106811244e-05
54,7.221800115075894e-05
55,5.524500011233613e-05
56,7.637599992449395e-05
57,5.5421000070055015e-05
58,5.370399958337657e-05
59,8.241300020017661e-05
60,7.043799996608868e-05
61,5.409299956227187e-05
62,5.0210999688715674e-05
63,6.795799890824128e-05
64,5.261699880065862e-05
65,6.619799933105242e-05
66,4.559499939205125e-05
67,4.5927999963168986e-05
68,5.053300083091017e-05
69,4.8583000534563325e-05
70,6.216200017661322e-05
71,7.185700087575242e-05
72,4.371200157038402e-05
73,7.365800047409721e-05
74,4.654399890569039e-05
75,5.293399954098277e-05
76,6.129499888629653e-05
77,5.376599983719643e-05
78,9.03449999896111e-05
79,4.5956998292240314e-05
80,7.424500108754728e-05
81,5.226299981586635e-05
82,6.421299985959195e-05
83,8.268400051747449e-05
84,4.4410000555217266e-05
85,4.433799949765671e-05
86,4.881599852524232e-05
87,6.043999928806443e-05
88,6.512199979624711e-05
89,4.719600110547617e-05
90,5.022000004828442e-05
91,9.428699922864325e-05
92,4.7434999942197464e-05
93,6.151600064185914e-05
94,4.966199958289508e-05
95,0.00011896499927388504
96,0.00011979099872405641
97,7.511200055887457e-05
98,8.08040003903443e-05
99,7.711000034760218e-05
100,6.132599992270116e-05
