1,4.4288000935921445e-05
2,4.255099884176161e-05
3,0.0001233749990205979
4,3.780000042752363e-05
5,3.285300044808537e-05
6,4.0103001083480194e-05
7,4.262600123183802e-05
8,3.5061000744462945e-05
9,3.572400055418257e-05
10,4.2638999730115756e-05
11,3.133799873467069e-05
12,5.601799966825638e-05
13,3.417699917918071e-05
14,5.710000004910398e-05
15,4.965500011167023e-05
16,3.808499968727119e-05
17,5.176800004846882e-05
18,7.024099977570586e-05
19,5.5205000535352156e-05
20,3.9077000110410154e-05
21,4.30389991379343e-05
22,3.917399953934364e-05
23,4.6178000047802925e-05
24,4.2982999730156735e-05
25,5.497399979503825e-05
26,5.192800017539412e-05
27,8.137000077113044e-05
28,4.677700053434819e-05
29,6.485299854830373e-05
30,3.49669990100665e-05
31,3.676699998322874e-05
32,3.553399983502459e-05
33,3.6727999031427316e-05
34,3.8190999475773424e-05
35,3.5416000173427165e-05
36,4.745700061903335e-05
37,3.1196999771054834e-05
38,3.699199987750035e-05
39,5.491500087373424e-05
40,4.061499930685386e-05
41,4.48179998784326e-05
42,0.00011889000052178744
43,4.662500032281969e-05
44,5.9898999097640626e-05
45,3.944900163332932e-05
46,3.731600008904934e-05
47,4.770099985762499e-05
48,4.615199941326864e-05
49,3.7254998460412025e-05
50,5.449299897009041e-05
51,4.7404000724782236e-05
52,4.5557999328593723e-05
53,4.727700070361607e-05
54,4.5496000893763267e-05
55,5.313200017553754e-05
56,3.575799928512424e-05
57,3.775000004679896e-05
58,4.8042000344139524e-05
59,4.151499888394028e-05
60,3.4727998354355805e-05
61,4.411000008985866e-05
62,3.7134999729460105e-05
63,3.5510000088834204e-05
64,4.00849985453533e-05
65,6.277000102272723e-05
66,3.7898000300629064e-05
67,3.650600046967156e-05
68,4.8490001063328236e-05
69,6.402100007107947e-05
70,3.756300066015683e-05
71,4.4042000808985904e-05
72,4.923599954054225e-05
73,3.752900011022575e-05
74,4.4415000957087614e-05
75,3.9167000068118796e-05
76,3.559399920050055e-05
77,4.003200047009159e-05
78,4.895100028079469e-05
79,4.410600013216026e-05
80,6.623499939450994e-05
81,4.316400008974597e-05
82,4.6873999963281676e-05
83,4.293599886295851e-05
84,3.663800089270808e-05
85,5.8802999774343334e-05
86,3.836399991996586e-05
87,5.0164000640506856e-05
88,6.39709996903548e-05
89,4.021799941256177e-05
90,3.767800080822781e-05
91,4.2041001506731845e-05
92,4.0749999243416823e-05
93,5.55240003450308e-05
94,3.945400021621026e-05
95,3.8948999645072035e-05
96,3.666200063889846e-05
97,3.834600101981778e-05
98,5.728699943574611e-05
99,4.553500002657529e-05
100,5.4457999794976786e-05
